business_id,business_name,city,state,is_open,dataset,total_reviews,business_star_avg,business_star_std,business_star_min,business_star_max,avg_vader_sentiment,vader_sentiment_std,dominant_emotion,avg_word_count,avg_negation_mentions,avg_person_mentions,avg_location_mentions,avg_product_mentions,avg_anger_intensity,avg_fear_intensity,avg_joy_intensity,avg_sadness_intensity,avg_anticipation_intensity,avg_disgust_intensity,avg_surprise_intensity,avg_trust_intensity,primary_industry
--LC8cIrALInl2vyo701tg,Studio G Salon,Tampa,FL,1,hair,1,4.0,,4.0,4.0,0.4019,,sadness,22.0,0.0,0.0,0.0,0.0,0.5,0.1,0.9,0.1,0.7,0.1,0.6,0.4,Hair Salons
-0i2KNr7WrCsDF5m0IViJg,Estela's Mexican Restaurant,Tampa,FL,0,chipotle,3,3.0,1.7320508075688772,2.0,5.0,0.3249,0.4765769927304506,trust,21.333333333333332,0.0,0.3333333333333333,0.0,0.0,0.5,0.10000000000000002,0.9,0.10000000000000002,0.6999999999999998,0.10000000000000002,0.6,0.4000000000000001,Mexican Restaurant
-2mctVTqFR5-DDCXKvMNPA,Great Clips,Indianapolis,IN,1,hair,1,4.0,,4.0,4.0,-0.743,,anger,20.0,0.0,0.0,1.0,0.0,0.5,0.1,0.9,0.1,0.7,0.1,0.6,0.4,Hair Salons
-2slH9PUjJ9YK16b0hGxWg,Happy Nail and spa,Tampa,FL,1,hair,7,3.142857142857143,2.0354009783964297,1.0,5.0,0.20311428571428572,0.6469158869295951,anticipation,22.428571428571427,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.5,0.1,0.9,0.1,0.7,0.1,0.6,0.4,Hair Salons
-54atFVRfQrMja7avLXSQw,Zoë Sky Salon,Elkins Park,PA,1,hair,2,5.0,0.0,5.0,5.0,0.8181,0.031254119728445294,joy,21.5,0.0,0.0,0.0,0.0,0.5,0.1,0.9,0.1,0.7,0.1,0.6,0.4,Hair Salons
-5Xfp4_pojZjGgOevX4iiw,Algie Hailey's Barber Shop,Metairie,LA,1,hair,1,5.0,,5.0,5.0,0.0,,sadness,21.0,0.0,0.0,0.0,0.0,0.5,0.1,0.9,0.1,0.7,0.1,0.6,0.4,Hair Salons
-6bmqSTgHUAJ2QTAn4tciQ,Clique Salon & Spa,Burlington,NJ,1,hair,2,3.0,2.8284271247461903,1.0,5.0,0.59205,0.2431740220500537,anticipation,23.5,1.0,0.0,0.0,0.0,0.5,0.1,0.9,0.1,0.7,0.1,0.6,0.4,Hair Salons
-6osFx4NgFRHJ5NXqpHV6g,Campo Azul,Nolensville,TN,1,chipotle,7,2.4285714285714284,1.8126539343499315,1.0,5.0,0.41002857142857146,0.6087899657360922,joy,21.714285714285715,0.42857142857142855,0.0,0.0,0.0,0.5,0.1,0.9,0.1,0.7,0.1,0.6,0.4,Mexican Restaurant
-7JjlPR9OiU_bAYXdi-Vbg,La Chic Salon & Spa,Largo,FL,1,hair,2,1.0,0.0,1.0,1.0,0.3568,0.11822825381439075,fear,20.0,1.0,0.0,0.0,0.0,0.5,0.1,0.9,0.1,0.7,0.1,0.6,0.4,Hair Salons
-8-8mbxQEpZx8Zs_nrzljA,Ga-In BeautyZone,Philadelphia,PA,1,hair,1,5.0,,5.0,5.0,0.3045,,anticipation,22.0,1.0,0.0,0.0,0.0,0.5,0.1,0.9,0.1,0.7,0.1,0.6,0.4,Hair Salons
-8NGFqFrlOmWawr827tZNg,Adobo Grill,Indianapolis,IN,0,chipotle,22,3.227272727272727,1.3777766140664454,1.0,5.0,0.2581136363636363,0.4802508752084978,sadness,20.272727272727273,0.45454545454545453,0.0,0.0,0.0,0.5,0.1,0.9,0.1,0.7,0.1,0.6,0.4,Mexican Restaurant
-8iCLoNY2Q52qWdGSZoDmQ,Le’vi Nail & Lash,Lansdale,PA,1,hair,7,4.285714285714286,0.7559289460184544,3.0,5.0,0.6119142857142857,0.36220228431348245,anger,21.428571428571427,0.14285714285714285,0.0,0.0,0.0,0.5,0.1,0.9,0.1,0.7,0.1,0.6,0.4,Hair Salons
-9Q5Z8H1-Z1ZcO7L4nWwHw,Sassy Salon & Spa,Gretna,LA,1,hair,2,5.0,0.0,5.0,5.0,0.7987500000000001,0.0802566196646732,anticipation,21.0,0.0,0.0,0.0,0.0,0.5,0.1,0.9,0.1,0.7,0.1,0.6,0.4,Hair Salons
-9_F6sRmPdlbQ2n6n1whAg,Sun Nails,Odessa,FL,1,hair,1,5.0,,5.0,5.0,0.8568,,joy,22.0,0.0,0.0,0.0,0.0,0.5,0.1,0.9,0.1,0.7,0.1,0.6,0.4,Hair Salons
-9i8lr1vxnoYrV_cmFkraQ,Cookie Cutters Haircuts for Kids,Greenwood,IN,1,hair,2,4.5,0.7071067811865476,4.0,5.0,0.52705,0.4592658543806626,trust,20.0,0.5,0.0,0.0,0.0,0.5,0.1,0.9,0.1,0.7,0.1,0.6,0.4,Hair Salons
-9n0NDe_pP1ZnrWr-lsDXQ,Ralph's Barber Shop,Glenside,PA,1,hair,3,5.0,0.0,5.0,5.0,0.2827,0.48965076329972157,anticipation,19.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.10000000000000002,0.9,0.10000000000000002,0.6999999999999998,0.10000000000000002,0.6,0.4000000000000001,Hair Salons
-9yzQQ0d_rcOD2CzdTNO_Q,McDonald's,New Orleans,LA,1,chipotle,3,3.0,2.0,1.0,5.0,-0.07309999999999998,0.5536810543986492,anger,22.666666666666668,0.6666666666666666,0.0,0.6666666666666666,0.0,0.5,0.10000000000000002,0.9,0.10000000000000002,0.6999999999999998,0.10000000000000002,0.6,0.4000000000000001,Mexican Restaurant
-ALqLSTzkGDMscHdxA1NgA,Su Casa Fresh Mexican Grill,Santa Barbara,CA,1,chipotle,3,4.666666666666667,0.5773502691896258,4.0,5.0,0.6747666666666667,0.1636500025460841,joy,20.666666666666668,0.0,0.0,0.3333333333333333,0.0,0.5,0.10000000000000002,0.9,0.10000000000000002,0.6999999999999998,0.10000000000000002,0.6,0.4000000000000001,Mexican Restaurant
